Ar_CommonGroup 搴旂敤鎬绘暟: 1170

鍞竴杩涚▼鍚? 965

================================================================================
ManicTime 鎵€鏈夊簲鐢紙CommonId | 杩涚▼鍚?| 鏄剧ず鍚?| 棰滆壊锛?
================================================================================
    919  mmc.exe                                                                                  #DC0D0A
     19  lenovopcmanager.exe                            鑱旀兂鐢佃剳绠″                                    #0066DC
    321  uninst.exe                                     鑱旀兂鐢佃剳绠″鍗歌浇绋嬪簭                                #0066DC
     46  lenovotray.exe                                 鑱旀兂鐢佃剳绠″闃叉姢涓績                                #0066DC
    446  lenovodm_setup.exe                             鑱旀兂椹卞姩绠＄悊                                    #0054FC
    433  browser.exe                                    鑵捐娴忚鏈嶅姟缁勪欢                                  #FEFE00
    783  qmbrowser.exe                                  鑵捐娴忚鏈嶅姟缁勪欢                                  #FEFE00
   1341  hardwarecheck.exe                              鑵捐瑙嗛                                      #FEFE00
     68  qqlive.exe                                     鑵捐瑙嗛                                      #008FEF
   1342  qqlivetips.exe                                 鑵捐瑙嗛                                      #008FEF
   1339  qqliveup.exe                                   鑵捐瑙嗛                                      #005F8F
   1124  mmc.exe                                        鑷畾涔夊厑璁告潯浠跺畨鍏ㄨ缃?                              #DC0D0A
   1745  mmc.exe                                        鑷畾涔夎鍥?                                    #DC1815
   1137  wegameminiloader.exe                           鑻遍泟鑱旂洘涓嬭浇鍣?                                  #FEFE00
    106  calculatorapp.exe                              璁＄畻鍣?                                      #008DFA
    172  mmc.exe                                        璁＄畻鏈虹鐞?                                    #DC0D0A
    507  deviceproperties.exe                           璁惧灞炴€?                                     #254D7D
    174  mmc.exe                                        璁惧绠＄悊鍣?                                    #DC0D0A
     12  systemsettings.exe                             璁剧疆                                        #4193F7
    191  systemsettingsadminflows.exe                   璁剧疆                                        #0082EC
    539  mmc.exe                                        璁剧疆鎴愭湰                                      #DC0D0A
    259  msdt.exe                                       璇婃柇鐤戦毦瑙ｇ瓟鍚戝                                  #000E79
   1460  璇嶆硶鍒嗘瀽瀹為獙.exe                                     璇嶆硶鍒嗘瀽瀹為獙                                    #0D4B74
    424  speechuxwiz.exe                                璇煶 UX 閰嶇疆                                  #FDFD00
   1250  awesun.exe                                     璐濋攼鍚戞棩钁?                                    #FA1A6C
   1249  awesun_16.0.1.24350_x64.exe                    璐濋攼鍚戞棩钁?                                    #FA1A6C
     25  perfmon.exe                                    璧勬簮鍜屾€ц兘鐩戣鍣?                                 #F88C00
    897  璧勬簮缂栬緫鍣?resource hacker)5.1.7姹夊寲鐗?exe             璧勬簮缂栬緫鍣?Resource Hacker)5.1                 #AE6800
    420  mmc.exe                                        璧勮 灞炴€?                                    #DC0D0A
    630  uninstall.exe                                  璧氶挶瀹濈數鑴戠増                                    #0000FE
    817  miscreenshare.exe                              璺ㄥ睆鍗忎綔                                      #DFA23F
    635  xunyou.exe                                     杩呮父鍔犻€熷櫒                                     #006E38
   1135  uninstall.exe                                  杩呮父鍔犻€熷櫒鍗歌浇宸ュ叿                                 #DA1200
    594  xylauncher.exe                                 杩呮父鍔犻€熷櫒鏇存柊宸ュ叿                                 #006E38
     93  thunder.exe                                    杩呴浄                                        #005CFB
    580  8215-2025-01-08054737-1736329657754.exe        杩呴浄X                                       #005CFB
   1242  thunderstart.exe                               杩呴浄XI                                      #005CFB
   1240  accuninstall.exe                               杩呴浄鍔犻€熷櫒鍗歌浇绋嬪簭                                 #96E200
   1047  xlliveud.exe                                   杩呴浄鍗囩骇绋嬪簭                                    #16549A
    282  xlgame.exe                                     杩呴浄娓告垙                                      #FB5C00
   1241  xlgame.exe                                     杩呴浄娓告垙(x86)                                 #FB5C00
   1239  xlacc.exe                                      杩呴浄娓告垙鍔犻€熷櫒                                   #393124
   2420  xlbugreport.exe                                杩呴浄閿欒鎶ュ憡                                    #700100
    474  杩愯娓告垙.exe                                       杩愯娓告垙                                      #D8816C
    821  remotecontrol.exe                              杩滅▼鎺у埗                                      #0035F8
    822  杩滅▼鎺у埗.exe                                       杩滅▼鎺у埗                                      #0035F8
    836  mstsc.exe                                      杩滅▼妗岄潰杩炴帴                                    #001ECD
    588  3675-2025-01-02023408-1735799648031.tmp        杩炶繛鎺?                                                          #5047F7
    280  asklink-installer-v3.6.2.9-x64-20241112-2241.tmp  杩炶繛鎺?                                                          #4444B6
   1887  nzm_launcher.exe                               閫嗘垬鏈潵                                      #FD0000
   2173  閫嗘垬锛氭湭鏉ュ嵏杞?exe                                    閫嗘垬锛氭湭鏉?                                    #FBAA08
   1885  wegameminiloader.exe                           閫嗘垬锛氭湭鏉ヤ笅杞藉櫒                                  #FE0000
     44  openwith.exe                                   閫夊彇搴旂敤                                      #02F32E
   2567  mmc.exe                                        閫夋嫨鐢ㄦ埛鎴栫粍 (楂樼骇)                               #DC0D0A
   2533  mmc.exe                                        閫氱敤 USB 闆嗙嚎鍣?灞炴€?                            #DC0D0A
    581  3402-2024-12-02110257-1733108577786.exe        閰风嫍闊充箰                                      #B58732
    601  mmc.exe                                        闄愬埗鍙繚鐣欏甫瀹?                                  #DC0D0A
    602  mmc.exe                                        闄愬埗鏈畬鎴愭暟鎹寘                                  #DC0D0A
    638  dnplayer.exe                                   闆风數妯℃嫙鍣?                                    #9E7400
    774  flingtrainer.exe                               椋庣伒鏈堝奖淇敼鍣?                                  #660808
    452  drvmain.exe                                    椹卞姩澶у笀                                      #003581
    454  uninstall.exe                                  椹卞姩澶у笀                                      #003581
    453  vipmain.exe                                    椹卞姩澶у笀                                      #003581
   2468  mmc.exe                                        椹卞姩绋嬪簭鍖呭洖閫€                                   #DC0D0A
   1533  mmc.exe                                        椹卞姩绋嬪簭鏂囦欢璇︾粏淇℃伅                                #DC0D0A
   1128  mmc.exe                                        楂樼骇 QoS 璁剧疆                                 #DC0D0A
    418  mmc.exe                                        楂樼骇瀹夊叏 Windows Defender 闃茬伀澧?                #DC0D0A
   2584  netplwiz.exe                                   楂樼骇鐢ㄦ埛甯愭埛鎺у埗闈㈡澘                                #D76B00
    403  systempropertiesadvanced.exe                   楂樼骇绯荤粺璁剧疆                                    #0023EC
    546  椴滆壓ai鎶犲浘.exe                                     椴滆壓AI鎶犲浘                                    #000909
   1896  games.exe                                      楣拌鍚姩鍣?                                    #4B77FB
   1895  hypergryph.exe                                 楣拌鍚姩鍣?                                    #C0B600
    449  mmc.exe                                        楹﹀厠椋庨樀鍒?(Realtek(R) Audio)                  #DC0D0A
    753  wegameminiloader.exe                           榫欐伅锛氱瀵備笅杞藉櫒                                  #442E22
